01:53:50 899	<LAYER 2-3-3-1> INFO:FlashInfo: 00 E0 A3 03 00 04 04 00 28 00 01
01:53:50 911	<LAYER 2-3-3-1> INFO:GetFlashInfo-->Emmc storage.
01:53:50 925	Layer<2-3-3-1>:获取FlashInfo成功
01:53:50 938	Layer<2-3-3-1>:准备IDB开始
01:53:50 950	<LAYER 2-3-3-1> INFO:CS(1)		(29820MB)		(UNKNOWN)
01:53:50 982	Layer<2-3-3-1>:准备IDB成功
01:53:50 997	Layer<2-3-3-1>:下载IDB开始
01:53:51 109	Layer<2-3-3-1>:下载IDB成功
01:53:51 124	Layer<2-3-3-1>:下载固件开始
01:53:51 136	<LAYER 2-3-3-1> INFO:FlashInfo: 00 E0 A3 03 00 04 04 00 28 00 01
01:53:51 148	<LAYER 2-3-3-1> INFO:GetFlashInfo-->Emmc storage.
01:53:51 164	<LAYER 2-3-3-1> INFO:Start download image,total=1073776128,band=64,DirectLBA=1,First4Access=1,Gpt=1
01:53:51 186	<LAYER 2-3-3-1> INFO:Start to download root,offset=0x9e000,size=1073741824
01:54:56 831	Layer<2-3-3-1>:下载固件成功
01:57:04 347	ERROR:CheckPartitionSize-->uboot part_size=1048576,100000;file_size=4194304,400000
01:58:40 899	ERROR:CheckPartitionSize-->uboot part_size=1048576,100000;file_size=4194304,400000
02:00:13 261	Layer<2-3-3-1>:测试设备开始
02:00:13 277	Layer<2-3-3-1>:测试设备成功
02:00:13 291	Layer<2-3-3-1>:校验芯片开始
02:00:13 306	Layer<2-3-3-1>:校验芯片成功
02:00:13 323	Layer<2-3-3-1>:获取FlashInfo开始
02:00:13 339	<LAYER 2-3-3-1> INFO:FlashInfo: 00 E0 A3 03 00 04 04 00 28 00 01
02:00:13 354	<LAYER 2-3-3-1> INFO:GetFlashInfo-->Emmc storage.
02:00:13 389	Layer<2-3-3-1>:获取FlashInfo成功
02:00:13 408	Layer<2-3-3-1>:准备IDB开始
02:00:13 423	<LAYER 2-3-3-1> INFO:CS(1)		(29820MB)		(UNKNOWN)
02:00:13 456	Layer<2-3-3-1>:准备IDB成功
02:00:13 473	Layer<2-3-3-1>:下载IDB开始
02:00:13 650	Layer<2-3-3-1>:下载IDB成功
02:00:13 667	Layer<2-3-3-1>:下载固件开始
02:00:13 682	<LAYER 2-3-3-1> INFO:FlashInfo: 00 E0 A3 03 00 04 04 00 28 00 01
02:00:13 695	<LAYER 2-3-3-1> INFO:GetFlashInfo-->Emmc storage.
02:00:13 714	<LAYER 2-3-3-1> INFO:Start download image,total=1082164736,band=64,DirectLBA=1,First4Access=1,Gpt=1
02:00:13 731	<LAYER 2-3-3-1> ERROR:RKA_Gpt_Download->Fail to check parameter, trust was overlapped
02:00:13 744	<LAYER 2-3-3-1> ERROR:DownloadImage-->RKA_Gpt_Download failed
02:00:13 760	Error:Layer<2-3-3-1>:下载固件失败
02:01:03 377	Layer<2-3-3-1>:测试设备开始
02:01:03 390	Layer<2-3-3-1>:测试设备成功
02:01:03 403	Layer<2-3-3-1>:校验芯片开始
02:01:03 417	Layer<2-3-3-1>:校验芯片成功
02:01:03 431	Layer<2-3-3-1>:获取FlashInfo开始
02:01:03 443	<LAYER 2-3-3-1> INFO:FlashInfo: 00 E0 A3 03 00 04 04 00 28 00 01
02:01:03 455	<LAYER 2-3-3-1> INFO:GetFlashInfo-->Emmc storage.
02:01:03 471	Layer<2-3-3-1>:获取FlashInfo成功
02:01:03 485	Layer<2-3-3-1>:准备IDB开始
02:01:03 496	<LAYER 2-3-3-1> INFO:CS(1)		(29820MB)		(UNKNOWN)
02:01:03 525	Layer<2-3-3-1>:准备IDB成功
02:01:03 539	Layer<2-3-3-1>:下载IDB开始
02:01:04 738	Layer<2-3-3-1>:下载IDB成功
02:01:04 751	Layer<2-3-3-1>:下载固件开始
02:01:04 763	<LAYER 2-3-3-1> INFO:FlashInfo: 00 E0 A3 03 00 04 04 00 28 00 01
02:01:04 775	<LAYER 2-3-3-1> INFO:GetFlashInfo-->Emmc storage.
02:01:04 791	<LAYER 2-3-3-1> INFO:Start download image,total=1082164736,band=64,DirectLBA=1,First4Access=1,Gpt=1
02:01:04 803	<LAYER 2-3-3-1> ERROR:RKA_Gpt_Download->Fail to check parameter, trust was overlapped
02:01:04 814	<LAYER 2-3-3-1> ERROR:DownloadImage-->RKA_Gpt_Download failed
02:01:04 827	Error:Layer<2-3-3-1>:下载固件失败
02:01:13 801	瑞芯微开发工具 v3.3.1.0 start run
02:01:35 961	Layer<2-3-3-1>:测试设备开始
02:01:35 975	Layer<2-3-3-1>:测试设备成功
02:01:35 987	Layer<2-3-3-1>:校验芯片开始
02:01:36 000	Layer<2-3-3-1>:校验芯片成功
02:01:36 013	Layer<2-3-3-1>:获取FlashInfo开始
02:01:36 025	<LAYER 2-3-3-1> INFO:FlashInfo: 00 E0 A3 03 00 04 04 00 28 00 01
02:01:36 036	<LAYER 2-3-3-1> INFO:GetFlashInfo-->Emmc storage.
02:01:36 050	Layer<2-3-3-1>:获取FlashInfo成功
02:01:36 062	Layer<2-3-3-1>:准备IDB开始
02:01:36 074	<LAYER 2-3-3-1> INFO:CS(1)		(29820MB)		(UNKNOWN)
02:01:36 102	Layer<2-3-3-1>:准备IDB成功
02:01:36 115	Layer<2-3-3-1>:下载IDB开始
02:01:36 737	Layer<2-3-3-1>:下载IDB成功
02:01:36 750	Layer<2-3-3-1>:下载固件开始
02:01:36 762	<LAYER 2-3-3-1> INFO:FlashInfo: 00 E0 A3 03 00 04 04 00 28 00 01
02:01:36 774	<LAYER 2-3-3-1> INFO:GetFlashInfo-->Emmc storage.
02:01:36 790	<LAYER 2-3-3-1> INFO:Start download image,total=1082164736,band=64,DirectLBA=1,First4Access=1,Gpt=1
02:01:36 801	<LAYER 2-3-3-1> ERROR:RKA_Gpt_Download->Fail to check parameter, trust was overlapped
02:01:36 812	<LAYER 2-3-3-1> ERROR:DownloadImage-->RKA_Gpt_Download failed
02:01:36 828	Error:Layer<2-3-3-1>:下载固件失败
02:05:04 025	Layer<2-3-3-1>:测试设备开始
02:05:04 040	Layer<2-3-3-1>:测试设备成功
02:05:04 055	Layer<2-3-3-1>:校验芯片开始
02:05:04 068	Layer<2-3-3-1>:校验芯片成功
02:05:04 081	Layer<2-3-3-1>:获取FlashInfo开始
02:05:04 093	<LAYER 2-3-3-1> INFO:FlashInfo: 00 E0 A3 03 00 04 04 00 28 00 01
02:05:04 105	<LAYER 2-3-3-1> INFO:GetFlashInfo-->Emmc storage.
02:05:04 117	Layer<2-3-3-1>:获取FlashInfo成功
02:05:04 130	Layer<2-3-3-1>:准备IDB开始
02:05:04 142	<LAYER 2-3-3-1> INFO:CS(1)		(29820MB)		(UNKNOWN)
02:05:04 170	Layer<2-3-3-1>:准备IDB成功
02:05:04 183	Layer<2-3-3-1>:下载IDB开始
02:05:04 228	Layer<2-3-3-1>:下载IDB成功
02:05:04 243	Layer<2-3-3-1>:下载固件开始
02:05:04 255	<LAYER 2-3-3-1> INFO:FlashInfo: 00 E0 A3 03 00 04 04 00 28 00 01
02:05:04 268	<LAYER 2-3-3-1> INFO:GetFlashInfo-->Emmc storage.
02:05:04 283	<LAYER 2-3-3-1> INFO:Start download image,total=1082164736,band=64,DirectLBA=1,First4Access=1,Gpt=1
02:05:04 295	<LAYER 2-3-3-1> ERROR:RKA_Gpt_Download->Fail to check parameter, trust was overlapped
02:05:04 307	<LAYER 2-3-3-1> ERROR:DownloadImage-->RKA_Gpt_Download failed
02:05:04 334	Error:Layer<2-3-3-1>:下载固件失败
02:05:24 019	Layer<2-3-3-1>:测试设备开始
02:05:24 032	Layer<2-3-3-1>:测试设备成功
02:05:24 045	Layer<2-3-3-1>:校验芯片开始
02:05:24 059	Layer<2-3-3-1>:校验芯片成功
02:05:24 072	Layer<2-3-3-1>:获取FlashInfo开始
02:05:24 083	<LAYER 2-3-3-1> INFO:FlashInfo: 00 E0 A3 03 00 04 04 00 28 00 01
02:05:24 094	<LAYER 2-3-3-1> INFO:GetFlashInfo-->Emmc storage.
02:05:24 106	Layer<2-3-3-1>:获取FlashInfo成功
02:05:24 118	Layer<2-3-3-1>:准备IDB开始
02:05:24 130	<LAYER 2-3-3-1> INFO:CS(1)		(29820MB)		(UNKNOWN)
02:05:24 158	Layer<2-3-3-1>:准备IDB成功
02:05:24 172	Layer<2-3-3-1>:下载IDB开始
02:05:24 372	Layer<2-3-3-1>:下载IDB成功
02:05:24 387	Layer<2-3-3-1>:下载固件开始
02:05:24 401	<LAYER 2-3-3-1> INFO:FlashInfo: 00 E0 A3 03 00 04 04 00 28 00 01
02:05:24 413	<LAYER 2-3-3-1> INFO:GetFlashInfo-->Emmc storage.
02:05:24 429	<LAYER 2-3-3-1> INFO:Start download image,total=1082164736,band=64,DirectLBA=1,First4Access=1,Gpt=1
02:05:24 440	<LAYER 2-3-3-1> ERROR:RKA_Gpt_Download->Fail to check parameter, trust was overlapped
02:05:24 451	<LAYER 2-3-3-1> ERROR:DownloadImage-->RKA_Gpt_Download failed
02:05:24 464	Error:Layer<2-3-3-1>:下载固件失败
02:05:36 696	Error:RKU_Write-->WriteFile failed,bRet=0,err=31,size=31,write=0
02:05:58 736	INFO:RKU_ResetPipe-->DeviceIoControl OK
02:05:58 747	Error:RKU_Write-->WriteFile failed,bRet=0,err=31,size=31,write=0
02:06:01 104	Layer<2-3-3-1>:下载Boot开始
02:06:01 184	<LAYER 2-3-3-1> ERROR:Boot_VendorRequest-->DeviceIoControl failed,Total(147458),Sended(0),crc(eee5),err(31)
02:06:01 196	<LAYER 2-3-3-1> ERROR:DownloadBoot-->Boot_VendorRequest471 failed,index(0)
02:06:01 210	Error:Layer<2-3-3-1>:下载Boot失败
02:06:13 408	瑞芯微开发工具 v3.3.1.0 start run
02:06:35 476	Layer<2-3-3-1>:测试设备开始
02:06:35 489	Layer<2-3-3-1>:测试设备成功
02:06:35 505	Layer<2-3-3-1>:校验芯片开始
02:06:35 518	Layer<2-3-3-1>:校验芯片成功
02:06:35 531	Layer<2-3-3-1>:获取FlashInfo开始
02:06:35 543	<LAYER 2-3-3-1> INFO:FlashInfo: 00 E0 A3 03 00 04 04 00 28 00 01
02:06:35 555	<LAYER 2-3-3-1> INFO:GetFlashInfo-->Emmc storage.
02:06:35 567	Layer<2-3-3-1>:获取FlashInfo成功
02:06:35 581	Layer<2-3-3-1>:准备IDB开始
02:06:35 592	<LAYER 2-3-3-1> INFO:CS(1)		(29820MB)		(UNKNOWN)
02:06:35 621	Layer<2-3-3-1>:准备IDB成功
02:06:35 634	Layer<2-3-3-1>:下载IDB开始
02:06:35 839	Layer<2-3-3-1>:下载IDB成功
02:06:35 855	Layer<2-3-3-1>:下载固件开始
02:06:35 868	<LAYER 2-3-3-1> INFO:FlashInfo: 00 E0 A3 03 00 04 04 00 28 00 01
02:06:35 880	<LAYER 2-3-3-1> INFO:GetFlashInfo-->Emmc storage.
02:06:35 895	<LAYER 2-3-3-1> INFO:Start download image,total=1082164736,band=64,DirectLBA=1,First4Access=1,Gpt=1
02:06:35 908	<LAYER 2-3-3-1> ERROR:RKA_Gpt_Download->Fail to check parameter, trust was overlapped
02:06:35 919	<LAYER 2-3-3-1> ERROR:DownloadImage-->RKA_Gpt_Download failed
02:06:35 934	Error:Layer<2-3-3-1>:下载固件失败
02:06:41 567	Layer<2-3-3-1>:测试设备开始
02:06:41 580	Layer<2-3-3-1>:测试设备成功
02:06:41 593	Layer<2-3-3-1>:校验芯片开始
02:06:41 606	Layer<2-3-3-1>:校验芯片成功
02:06:41 618	Layer<2-3-3-1>:获取FlashInfo开始
02:06:41 630	<LAYER 2-3-3-1> INFO:FlashInfo: 00 E0 A3 03 00 04 04 00 28 00 01
02:06:41 641	<LAYER 2-3-3-1> INFO:GetFlashInfo-->Emmc storage.
02:06:41 655	Layer<2-3-3-1>:获取FlashInfo成功
02:06:41 668	Layer<2-3-3-1>:准备IDB开始
